html,next_button
"<a class=""aui_close"" href=""javascript:/*artDialog*/;"" style=""display: block;"">×</a>",0
"<li><a href=""http://www.bjd.com.cn/"" rel=""nofollow"" target=""_blank"" title=""京报网"">京报网</a></li>",0
"<li><a href=""http://www.hc.gov.cn/"" target=""_blank"">合川区</a></li>",0
"<li><a href=""http://www.qinghai.gov.cn/"" target=""_blank"">青海</a></li>",0
"<li><a href=""https://www.nxccpit.gov.cn/jgsz_0/ldjj/"" target=""_blank"">领导信息</a></li>",0
"<li><div class=""ct"" chnltype=""0""><a href=""http://gat.shaanxi.gov.cn/zfxxgk/fdzdgknr/zcwj/"">政策文件</a></div></li>",0
"<LINK href=""../../../images/TreeNav_cover20181024.css"" rel=""stylesheet"" type=""text/css"">",0
"<link rel=""stylesheet"" href=""/wuhai/uiFramework/commonResource/css/idangerous.swiper2.7.6.css"">",0
"<link rel=""stylesheet"" href=""http://www.xihaian.gov.cn/images/common.css"">",0
"<a class=""default_pgBtn default_pgNext"" title=""下页"" href=""/col/col1459/index.html?uid=41018&amp;pageNum=2""></a>",1
"<link type=""text/css"" rel=""stylesheet"" href=""../../../images/pub_zwxxgk.css"">",0
"<meta http-equiv=""X-UA-Compatible"" content=""IE=10,chrome=1"">",0
"<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">",0
"<a class=""jp-next"">下一页</a>",1
"<meta name=""others"" content=""页面生成时间 2022-12-06 10:55:42"">",0
"<meta name=""SiteName"" content=""国家矿山安全监察局门户网站"">",0
"<meta name=""X-UA-Compatible"" content=""IE=Edge,chrome=1"">",0
"<a class=""last-page"" href=""index_1.html"">下一页</a>",1
"<OPTION value=""1999"">1999</OPTION>",0
"<option value=""20"">20</option>",0
"<p style=""text-align:center"" setedaria=""true"" tabindex=""0""><span style=""font-size:16px;font-family:宋体"">科技处</span></p>",0
"<a class=""lucidity_pgBtn lucidity_pgNext"" title=""下一页"" href=""/col/col33/index.html?uid=43955&amp;pageNum=2"">下一页</a>",1
"<path class=""cls-1"" d=""M23.4,18.34,26,8.22l-14.31.43,3.75,3.94S7,17.65,7.15,25.53s6,13.06,11.12,15c-4.12-4.88-13.12-16.13,0-25.25A22.85,22.85,0,0,0,23.4,18.34Z""></path>",0
"<a class=""next"" href=""/mlxc/gggs/index_2.shtml"">下一页</a>",1
"<A class=""page-button"" data-page=""1"">下一页</A>",1
"<A class=""page-button"" data-page=""2"">下一页</A>",1
"<a class=""pagenext"" href=""http://gat.shaanxi.gov.cn/zfxxgk/fdzdgknr/zkly/index_1.html"">&gt;</a>'",1
"<a class=""pagenext"" href=""http://gat.shaanxi.gov.cn/zfxxgk/fdzdgknr/zkly/index_1.html"">尾页</a>'",0
"<a class=""page-next"" href=""index_1.html"" tabindex=""0"">下一页</a>",1
"<script src=""http://cdn.sneducloud.com/file/script/outurl.js"" type=""text/javascript"" charset=""utf-8""></script>",0
"<script src=""http://dcs.conac.cn/js/05/000/0000/60493392/CA050000000604933920003.js"" type=""text/javascript""></script>",0
"<script type=""text/javascript"" src=""/images/xcConfirm.js""></script>",0
"<span class=""disabled"">«上一页</span>",0
"<span class=""sDisable"" data-page=""2"" onclick=""paging.goto(this)"">下一页</span>",1
"<span class=""sp1"">招考录用</span>",0
"<a class=""up"" href=""index_1.html"">下一页</a>",1
"<span id=""_span_jiucuo""><img onclick=""Link('4203000001')"" style=""margin:0;border:0;cursor: pointer;"" src=""https://zfwzgl.www.gov.cn/exposure/images/jiucuo.png?v=4203000001""></span>",0
"<span id=""tree_dtab5_1_switch"" title="""" class=""button level0 switch root_close"" treenode_switch="""" tabindex=""0"" aria-expanded=""false"" data-aria-expanded=""true"" aria-label=""新闻发布，折叠区域，按回车键激活操作。"" data-wza-enter-trigger=""click"" data-wza-scan=""true""></span>",0
"<span id=""treeDemo_71_switch"" title="""" class=""button level0 switch center_close"" treenode_switch="""" tabindex=""0"" role=""tab"" aria-haspopup=""true"" aria-owns="".ztree li ul.line"" aria-expandshowmethod=""click"" aria-enterownsmethod=""1"" aria-eschide=""true"" setedaria=""true"" aria-ownsfor=""[id='treeDemo_24_ul']"" aria-sourceowns=""true"" aria-label=""按钮,当前有浮动窗口，按ctrl+下键进入窗口,按tab键在浮动层中遍历信息,按esc键返回"" aria-autolabel=""true""></span>",0
<span>|</span>,0
<span>导盲</span>,0
<span>政务公开</span>,0
"<a disabled=""disabled"">下一页</a>",1
"<style type=""text/css"" id=""golabFixedCss"" isaria=""true""></style>",0
"<td align=""center"">7</td>",0
"<td nowrap=""nowrap"" width=""40%"" class=""tiptitlestyle152168"">其他  </td>",0
"<td valign=""middle""><a class=""lucidity_pgBtn lucidity_pgPrev lucidity_pgPrevDisabled"" title=""上一页"" href=""/col/col33/index.html?uid=43955&amp;pageNum=0"" disabled=""disabled"">上一页</a></td>",0
"<td><span class=""document-number""></span></td>",0
"<a class=""pgBtn"" href=""Javascript:funGoPage('/module/xxgk/search.jsp',2);"">下一页</a>",1
"<a href=""javascript:void(0);"" onclick=""javascript:goPage(2)"">下一页</a>",1
"<li><a title=""锦州市"" target=""_blank"" href=""http://www.jz.gov.cn/"">锦州市</a></li>",0
"<a style=""cursor:pointer"" title=""下一页"" onclick=""queryArticleByCondition(this,'/tieling/ywdt/jrtl/304d6359-2.html')"" tagname=""/tieling/ywdt/jrtl/304d6359-2.html"">下一页</a>",1
"<a href=""javaScript:void(0);"" class=""a"" tabindex=""0"">渝府</a>",0
"<a class=""page-next"" href=""index_1.html"" tabindex=""0"">下一页</a>",1
"<i class=""layui-icon""></i>",0
"<a class=""up"" href=""index_1.html"">下一页</a>",1
"<a href=""javascript:void(0)"">其他公开</a>",0
"<a href=""zwgk_list_2.shtml"">下一页</a>",1
"<a href=""#"" class=""jp-hidden"">15</a>",0
"<input type=""text"" id=""num"" value=""1"">",0
"<a href=""#"" onclick=""return kkpager._clickHandler(2)"" title=""下一页"">下一页</a>",1
"<a href=""#nogo"" class=""jp-next"">下一页</a>",1
"<a href=""/news_list.aspx?category_id=90&amp;page=2"">下一页»</a>",1
"<a href=""/sfgw/ywdt/ywdt_index.shtml"" target=""_blank"" tabindex=""0"">要闻动态</a>",0
"<a href=""?totalpage=32&amp;PAGENUM=2"" class=""Next"">下页</a>",1
"<a href=""http://lswz.tj.gov.cn/SY8181/ZWDTZWXX4505/index_1.html"">&gt;</a>",1
"<a href=""bmdt/384.htm"">下页</a>",1
"<dt class=""required"" aria-required=""true"">用户名</dt>",0
"<a class=""next"" href=""/zwgk/zfxxgkml/zcfg/szfwj_2"">下一页</a>",1
"<a href=""fr_gggsList_2.html"">下一页</a>",1
"<meta http-equiv=""x-ua-compatible"" content=""IE=10,chrome=1"">",0
"<a href=""http://csglw.beijing.gov.cn/zmhd/"" target=""_blank"" title=""政民互动"">政民互动</a>",0
"<a href=""http://jyt.shaanxi.gov.cn/news/gfxwj/2.html"" title=""下一页"">&nbsp;»&nbsp;</a>",1
"<a href=""http://sjt.hunan.gov.cn/"" target=""_blank"">省审计厅</a>",0
"<a href=""http://www.cqkz.gov.cn"" target=""_blank"">开州区</a>",0
"<a href=""http://www.hainan.gov.cn/"" rel=""nofollow"" title=""海南"" target=""_blank"">海南</a>",0
"<a href=""http://www.jishou.gov.cn/"" target=""_blank"" aria-label=""吉首市人民政府"" topsecparsed_key=""true""><img src=""http://www.jishou.gov.cn/images/2019xxz_xsq_jss_logo.png"" alt=""吉首市人民政府"" topsecparsed_key=""true""></a>",0
"<a href=""http://znwd.hnloudi.gov.cn/v2/loudi"" title=""智能客服"" target=""_blank""></a>",0
"<a href=""https://h5p-qiannan-gw.duobus.cn/app/qiannan/#/view/donate/index?vnk=00d9965a"" target=""_blank"" tips-title=""爱心捐款"" tips-dir=""4""><!--爱心捐款--></a>",0
"<a href=""index_1.html"" class=""next"">下一页</a>",1
"<a href=""index_1.html"" title=""下一页"">下一页</a>",1
"<a href=""index_1.html"">下一页</a>",1
"<a href=""index_1.shtml"">下一页</a>",1
"<a href=""index_2.html"">下一页</a>",1
"<a href=""javascript:;"" class=""item next"" data-page=""next"">下一页</a>",1
"<a href=""javascript:;"" class=""item prev disable"" data-page=""prev"">上一页</a>",0
"<a href=""javascript:;"" class=""next"">下一页</a>",1
"<a href=""javascript:;"" class=""nextbtn"">下一页</a>",1
"<a href=""javascript:next(0)"" title=""下一页"">下一页</a>",1
"<a href=""javascript:void(0)"" paged=""2"" aria-label=""跳转至下一页"">下一页</a>",1
"<a href=""javascript:void(0)"" paged=""2"" aria-label=""跳转至下一页，当前为第1页。"" data-wza-scan=""true"">下一页</a>",1
"<a href=""javascript:void(0)"">下一页</a>",1
"<a href=""javascript:void(0);"" class=""toolbar-item toolbar-item-wx""></a>",0
"<a href=""list.jsp?tcfl=&amp;zhuti=&amp;channelId=f71d258db40a435dabb165e626cfec96&amp;parentChannelId=2b47649f04fe4a46b20ea9db1475f7a5&amp;page=2"">下一页</a>",1
"<a href=""list_2.shtml"">下一页</a>",1
"<a href=""list_427_2.html"">下一页</a>",1
"<a href=""List_wj.aspx?portalid=1&amp;lmid=53&amp;pages=2"" class=""prev"">下一页</a>",1
"<a href=""list3_2.shtml"" tabindex=""0"">下一页</a>",1
"<a href=""newszwxxgkchild_2.shtml"">下一页</a>",1
"<a href=""nlist_2.shtml"">下一页</a>",1
"<a href=""zwyw/158.htm"" class=""Next"">下页</a>",1
"<a id=""pagenav_1"" style=""font-size:14px;"" target=""_self"" href=""index_1.html"">下一页</a>",1
"<a id=""pagenav_nextgroup"" style=""font-size:14px;"" target=""_self"" href=""index_9.html"">下5页</a>",1
"<a onclick=""queryArticleByCondition(this,'/wuhai/whyw75/whyw12/b556f834-2.html')"" tagname=""/wuhai/whyw75/whyw12/b556f834-2.html"">下一页</a>",1
"<a style=""cursor:pointer"" title=""下一页"" onclick=""queryArticleByCondition(this,'/bjsdxqrmzf/zwfw/ghjh/99355453-2.html')"" tagname=""/bjsdxqrmzf/zwfw/ghjh/99355453-2.html"">下一页</a>",1
"<a title=""下一页"" onclick=""funNext(&quot;1575448237070&quot;)""><span class=""pc"">&gt;&gt;</span></a>",1
"<a title=""下一页"" tagname=""[NEXTPAGE]"" class="""">下一页</a>",1
<a>下页</a>,1
<br>,0
"<button type=""button"" class=""next-page-btn"" id=""nextPage"">下一页</button>",1
"<div class=""alert_bot clearfix""><a data-id=""go"" class=""alert_href"" href="""">继续</a><a data-id=""close"" class=""alert_cancle"">放弃</a></div>",0
"<div class=""bannerwz""><img src=""/portal/content/m2022/images/20220118-gwylyw-bannerwz.png  "" alt=""""></div>",0
"<div class=""clear""></div>",0
"<div class=""list1""><i></i></div>",0
"<a href=""list3_2.shtml"">下一页</a>",1
"<div class=""page_list_more"" id=""moreList""><span>更多</span></div>'",0
"<div class=""shanxi-gov-page-box"" id=""page""/>",1
"<div id=""jquery_jplayer"" style=""width: 0px; height: 0px;""><img id=""jp_poster_0"" style=""width: 0px; height: 0px; display: none;""><audio id=""jp_audio_0"" preload=""metadata""></audio></div>",0
"<div id=""page_div"" style=""padding: 0 25px;""/>'",1
"<div id=""page_div""/>'",1
"<em class=""reduce"" style=""display: inline;"">-</em>",0
"<font class=""hidden-xs"">下一页</font>",1
<head></head>,0
"<i class=""layui-edge""></i>",0
"<i class=""menu-L3"" href=""javascript:void(0);"" onclick=""getNews(60201)"" id=""60201"">就业</i>",0
<i></i>,0
"<img class=""nb1 skipAutoFix"" src=""/images/zfxxgk-gknb-select.png"" alt="""">",0
"<div class=""gov_header_ph""></div>",0
"<a title=""下一页"" onclick=""queryArticleByCondition(this,'/ybj/zxzx/szyw/0985b739-2.shtml')"" tagname=""/ybj/zxzx/szyw/0985b739-2.shtml"">下一页</a>",1
"<img id=""imgConac"" vspace=""0"" hspace=""0"" border=""0"" src=""https://dcs.conac.cn/image/red.png"" data-bd-imgshare-binded=""1"">",0
"<a href=""http://slt.xizang.gov.cn/zwgk/"">政务公开</a>",0
"<img onclick=""Link('2100000123')"" style=""margin:0;border:0;cursor: pointer;"" src=""https://zfwzgl.www.gov.cn/exposure/images/jiucuo.png?v=2100000123"">",0
"<a class=""page-btn page-pre"" href=""index_1.html"">下一页</a>",1
"<img onclick=""Link('5100000015')"" style=""margin:0;border:0;cursor: pointer;"" src=""https://zfwzgl.www.gov.cn/exposure/images/jiucuo.png?v=5100000015"">",0
"<div class=""nav_line""></div>",0
"<img src=""../../images/ico_yellow.jpg"" width=""3"" height=""7"" title=""图片装饰"" alt=""图片装饰"">",0
"<a class=""default_pgBtn default_pgNext"" title=""下页"" href=""/col/col73597/index.html?uid=456422&amp;pageNum=2""></a>",1
"<img src=""https://mzj.sh.gov.cn/assets/shmzj2016/assets/img/wzabst.png"" alt="""">",0
"<img src=""https://ty.tj.gov.cn/GLLLM/QDFY/TYTB/202008/W020200824393509963211.png"" alt="""">",0
"<input id=""ParentChid"" value=""37808"" type=""hidden"">",0
"<a style=""cursor:pointer"" onclick=""queryArticleByCondition(this,'/rmyh/105208/8532/index2.html')"" tagname=""/rmyh/105208/8532/index2.html"" class=""pagingNormal"">下一页</a>",0
"<input style=""font-size:12px"" type=""submit"" value=""GO"" onclick=""javascript:toPage()"">",0
"<a style=""cursor:pointer"" onclick=""queryArticleByCondition(this,'/rmyh/105208/8532/index2.html')"" tagname=""/rmyh/105208/8532/index2.html"" class=""pagingNormal"">下一页</a>",1
"<input type=""text"" name=""qt"" id=""qt"" value="""" placeholder=""请输入您要搜索的关键字"" style="" width: 309px; padding: 0 20px 0 40px; height: 40px; line-height: 40px;   border: 1px solid #5989cb; background: url(../images/icon-search.png) no-repeat; background-position: 11px center; border-right: none; vertical-align: middle;"">",0
<title>出错了</title>,0
"<li class=""closed"" id=""5083545""><span class=""file""><a href=""http://www.bjq.gov.cn/xxgk/zfxxgkml/jcxxgk/tzfw/zsxm/"" title=""招商项目"">招商项目</a></span></li>",0
<span>·</span>,0
"<li class=""on""><a href=""/czt/c110774/xwdt.shtml"" target=""_self"">新闻动态</a></li>",0
"<a style=""cursor:pointer"" onclick=""queryArticleByCondition(this,\'/cea/zwgk/5453656/5509691/5509696/d9c53ebf-2.html\')"" tagname=""/cea/zwgk/5453656/5509691/5509696/d9c53ebf-2.html"" class=""pagingNormal"">下一页</a>",1
"<li class=""theme-nightly"" id=""theme-nightly"">夜间模式</li>",0
"<meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"">",0
"<li data-id=""3054"" data-layer=""2""><p title=""违纪举报"" class=""show-bottom-href"" data-showhref=""http://www.gdjct.gd.gov.cn/r/cms/jjw/xfjb/jbyd.html"" style=""margin-left: 54px"">违纪举报</p></li>",0
"<li style=""width:87px;"">公开方式</li>",0
"<li><a href=""http://lyj.cq.gov.cn/"" target=""_blank"">市林业局</a></li>",0
"<li><a href=""http://slj.cq.gov.cn/"" target=""_blank"">市水利局</a></li>",0
"<a href=""http://www.gaotang.gov.cn/ywdt/jryw/index_1.html"">&gt;</a>",1
"<a href=""javascript:toPage();"">跳转</a>",0
"<a href=""index_1.shtml""> › </a>",1
